,product,measure,month,cost
5197,Яблоки,1 кг,сентябрь,27.72
5198,Aбрикосы,1 кг,сентябрь,58.34
5199,"Клубника, малина",1 кг,сентябрь,136.12
5200,Вишня,1 кг,сентябрь,64.27
5201,Виноград свежий,1 кг,сентябрь,76.63
5202,Aпельсины,1 кг,сентябрь,99.33
5203,Лимоны,1 кг,сентябрь,141.25
5204,Дыни,1 кг,сентябрь,21.16
5205,Aрбузы,1 кг,сентябрь,5.36
5206,Виноград сушеный,1 кг,сентябрь,114.56
5207,Яблоки сушеные,1 кг,сентябрь,43.00
5208,Курага,1 кг,сентябрь,143.99
5209,Орехи грецкие,1 кг,сентябрь,106.74
5210,Капуста свежая,1 кг,сентябрь,10.63
5211,Лук репчатый,1 кг,сентябрь,15.95
5212,Свекла,1 кг,сентябрь,26.60
5213,Морковь,1 кг,сентябрь,19.44
5214,Огурцы свежие,1 кг,сентябрь,13.51
5215,Тыква,1 кг,сентябрь,13.67
5216,Лук зеленый,1 кг,сентябрь,52.22
5217,Помидоры свежие,1 кг,сентябрь,14.67
5218,"Редиска, редька",1 кг,сентябрь,21.81
5219,Баклажаны,1 кг,сентябрь,17.11
5220,Горох,1 кг,сентябрь,36.38
5221,Чеснок,1 кг,сентябрь,58.11
5222,Томатная паста,1 кг,сентябрь,72.84
5223,Картофель,1 кг,сентябрь,15.50
5224,Сахар-песок,1 кг,сентябрь,32.71
5225,Мед пчелиный натуральный,1 кг,сентябрь,196.23
5226,Соль,1 кг,сентябрь,11.94
5227,Майонез,1 кг,сентябрь,126.45
5228,Дрожжи,50 гр.,сентябрь,10.01
5229,Кофе натуральный растворимый,100 гр.,сентябрь,77.80
5230,Чай черный байховый,100 гр.,сентябрь,26.11
5231,Вода минеральная,"0,5 л.",сентябрь,6.57
5232,Водка крепостью 40 градусов,"0,5 л.",сентябрь,51.58
5233,Коньяк отечественный,"0,5 л.",сентябрь,185.04
5234,Вино игристое отечественное,"0,7 л.",сентябрь,130.13
5235,Сигареты с фильтром,1 пачка,сентябрь,29.77
5236,Цемент,50 кг,сентябрь,292.06
5237,"Электроэнергия, основной тариф",1 кВт. час,сентябрь,0.71
5238,Природный газ,за 1 человека в месяц,сентябрь,98.95
5239,Сжиженный газ ,1 кг,сентябрь,39.71
5240,Уголь,1 тонна,сентябрь,3 705.20
5241,Бензин автомобильной марки А-92,1 литр,сентябрь,31.50
5242,Бензин автомобильной марки А-80,1 литр,сентябрь,28.88
5243,Дизельное топливо,1 литр,сентябрь,35.29
5244,Рис среднезерный,1 кг,октябрь,55.19
5245,Рис длиннозерный,1 кг,октябрь,75.17
5246,Мука пшеничная высшего сорта,1 кг,октябрь,33.69
5247,Мука пшеничная первого сорта,1 кг,октябрь,28.56
5248,Крупа манная,1 кг,октябрь,33.95
5249,Пшено,1 кг,октябрь,32.32
5250,Хлеб из пшеничной муки 1 сорта,1 кг,октябрь,33.37
5251,Лепешка,1 кг,октябрь,39.05
5252,Макаронные изделия,1 кг,октябрь,49.04
5253,"Вермишель, лапша",1 кг,октябрь,43.06
5254,Говядина,1 кг,октябрь,172.10
5255,Свинина,1 кг,октябрь,170.94
5256,Баранина,1 кг,октябрь,184.97
5257,Конина,1 кг,октябрь,182.46
5258,Колбаса вареная,1 кг,октябрь,180.32
5259,Колбаса полукопченая,1 кг,октябрь,203.21
5260,"Сосиски, сардельки",1 кг,октябрь,165.99
5261,Рыба свежая и охлажденная,1 кг,октябрь,101.18
5262,Рыба замороженная неразделанная,1 кг,октябрь,101.61
5263,Сельдь соленая,1 кг,октябрь,84.36
5264,"Кефир, айран",1 литр,октябрь,35.79
5265,Сметана,1 литр,октябрь,186.96
5266,Сливки,1 литр,октябрь,128.39
5267,Творог жирный,1 кг,октябрь,195.42
5268,Творог нежирный,1 кг,октябрь,135.05
5269,Яйца куриные,10 штук,октябрь,58.54
5270,Масло сливочное,1 кг,октябрь,280.83
5271,Хлопковое масло,1 кг,октябрь,108.71
5272,Подсолнечное масло,1 кг,октябрь,115.15
5273,Яблоки,1 кг,октябрь,31.02
5274,Aбрикосы,1 кг,октябрь,55.00
5275,"Клубника, малина",1 кг,октябрь,133.92
5276,Вишня,1 кг,октябрь,0.00
5277,Виноград свежий,1 кг,октябрь,100.69
5278,Aпельсины,1 кг,октябрь,106.09
5279,Лимоны,1 кг,октябрь,148.48
5280,Дыни,1 кг,октябрь,25.61
5281,Aрбузы,1 кг,октябрь,9.21
5282,Виноград сушеный,1 кг,октябрь,114.90
5283,Яблоки сушеные,1 кг,октябрь,43.70
5284,Курага,1 кг,октябрь,144.91
5285,Орехи грецкие,1 кг,октябрь,107.79
5286,Капуста свежая,1 кг,октябрь,13.86
5287,Лук репчатый,1 кг,октябрь,19.01
5288,Свекла,1 кг,октябрь,27.85
5289,Морковь,1 кг,октябрь,19.91
5290,Огурцы свежие,1 кг,октябрь,26.75
5291,Тыква,1 кг,октябрь,16.72
5292,Лук зеленый,1 кг,октябрь,62.09
5293,Помидоры свежие,1 кг,октябрь,21.14
5294,"Редиска, редька",1 кг,октябрь,22.12
5295,Баклажаны,1 кг,октябрь,20.71
5296,Горох,1 кг,октябрь,36.45
5297,Чеснок,1 кг,октябрь,60.61
5298,Томатная паста,1 кг,октябрь,73.89
5299,Картофель,1 кг,октябрь,16.41
5300,Сахар-песок,1 кг,октябрь,32.98
5301,Мед пчелиный натуральный,1 кг,октябрь,199.36
5302,Соль,1 кг,октябрь,11.98
5303,Майонез,1 кг,октябрь,126.62
5304,Дрожжи,50 гр.,октябрь,10.22
5305,Кофе натуральный растворимый,100 гр.,октябрь,78.21
5306,Чай черный байховый,100 гр.,октябрь,26.36
5307,Вода минеральная,"0,5 л.",октябрь,6.59
5308,Водка крепостью 40 градусов,"0,5 л.",октябрь,51.58
5309,Коньяк отечественный,"0,5 л.",октябрь,185.52
5310,Вино игристое отечественное,"0,7 л.",октябрь,130.13
5311,Сигареты с фильтром,1 пачка,октябрь,29.80
5312,Цемент,50 кг,октябрь,280.36
5313,"Электроэнергия, основной тариф",1 кВт. час,октябрь,0.71
5314,Природный газ,за 1 человека в месяц,октябрь,98.95
5315,Сжиженный газ ,1 кг,октябрь,41.15
5316,Уголь,1 тонна,октябрь,3 659.98
5317,Бензин автомобильной марки А-92,1 литр,октябрь,29.82
5318,Бензин автомобильной марки А-80,1 литр,октябрь,27.37
5319,Дизельное топливо,1 литр,октябрь,34.08
5320,Рис среднезерный,1 кг,ноябрь,55.68
5321,Рис длиннозерный,1 кг,ноябрь,75.19
5322,Мука пшеничная высшего сорта,1 кг,ноябрь,33.48
5323,Мука пшеничная первого сорта,1 кг,ноябрь,27.39
5324,Крупа манная,1 кг,ноябрь,35.03
5325,Пшено,1 кг,ноябрь,34.20
5326,Хлеб из пшеничной муки 1 сорта,1 кг,ноябрь,33.33
5327,Лепешка,1 кг,ноябрь,39.14
5328,Макаронные изделия,1 кг,ноябрь,49.25
5329,"Вермишель, лапша",1 кг,ноябрь,43.31
5330,Говядина,1 кг,ноябрь,170.90
5331,Свинина,1 кг,ноябрь,172.84
5332,Баранина,1 кг,ноябрь,183.75
5333,Конина,1 кг,ноябрь,181.93
5334,Колбаса вареная,1 кг,ноябрь,181.98
5335,Колбаса полукопченая,1 кг,ноябрь,204.25
5336,"Сосиски, сардельки",1 кг,ноябрь,166.87
5337,Рыба свежая и охлажденная,1 кг,ноябрь,115.51
5338,Рыба замороженная неразделанная,1 кг,ноябрь,104.29
5339,Сельдь соленая,1 кг,ноябрь,85.07
5340,"Кефир, айран",1 литр,ноябрь,36.36
5341,Сметана,1 литр,ноябрь,188.74
5342,Сливки,1 литр,ноябрь,128.72
5343,Творог жирный,1 кг,ноябрь,196.17
5344,Творог нежирный,1 кг,ноябрь,137.21
5345,Яйца куриные,10 штук,ноябрь,60.21
5346,Масло сливочное,1 кг,ноябрь,282.06
5347,Хлопковое масло,1 кг,ноябрь,106.61
5348,Подсолнечное масло,1 кг,ноябрь,104.31
5349,Яблоки,1 кг,ноябрь,32.87
5350,Aбрикосы,1 кг,ноябрь,0.00
5351,"Клубника, малина",1 кг,ноябрь,141.34
5352,Вишня,1 кг,ноябрь,0.00
5353,Виноград свежий,1 кг,ноябрь,105.34
5354,Aпельсины,1 кг,ноябрь,108.43
5355,Лимоны,1 кг,ноябрь,149.94
5356,Дыни,1 кг,ноябрь,26.02
5357,Aрбузы,1 кг,ноябрь,10.35
5358,Виноград сушеный,1 кг,ноябрь,116.36
5359,Яблоки сушеные,1 кг,ноябрь,45.78
5360,Курага,1 кг,ноябрь,145.25
5361,Орехи грецкие,1 кг,ноябрь,107.92
5362,Капуста свежая,1 кг,ноябрь,16.11
5363,Лук репчатый,1 кг,ноябрь,23.90
5364,Свекла,1 кг,ноябрь,26.75
5365,Морковь,1 кг,ноябрь,19.34
5366,Огурцы свежие,1 кг,ноябрь,40.55
5367,Тыква,1 кг,ноябрь,19.47
5368,Лук зеленый,1 кг,ноябрь,66.25
5369,Помидоры свежие,1 кг,ноябрь,55.24
5370,"Редиска, редька",1 кг,ноябрь,21.43
5371,Баклажаны,1 кг,ноябрь,28.36
5372,Горох,1 кг,ноябрь,36.97
5373,Чеснок,1 кг,ноябрь,65.69
5374,Томатная паста,1 кг,ноябрь,74.80
5375,Картофель,1 кг,ноябрь,16.61
5376,Сахар-песок,1 кг,ноябрь,35.23
5377,Мед пчелиный натуральный,1 кг,ноябрь,208.10
5378,Соль,1 кг,ноябрь,12.18
5379,Майонез,1 кг,ноябрь,127.90
5380,Дрожжи,50 гр.,ноябрь,10.31
5381,Кофе натуральный растворимый,100 гр.,ноябрь,78.83
5382,Чай черный байховый,100 гр.,ноябрь,27.59
5383,Вода минеральная,"0,5 л.",ноябрь,6.59
5384,Водка крепостью 40 градусов,"0,5 л.",ноябрь,51.74
5385,Коньяк отечественный,"0,5 л.",ноябрь,189.80
5386,Вино игристое отечественное,"0,7 л.",ноябрь,130.26
5387,Сигареты с фильтром,1 пачка,ноябрь,29.80
5388,Цемент,50 кг,ноябрь,272.69
5389,"Электроэнергия, основной тариф",1 кВт. час,ноябрь,0.71
5390,Природный газ,за 1 человека в месяц,ноябрь,98.95
5391,Сжиженный газ ,1 кг,ноябрь,46.68
5392,Уголь,1 тонна,ноябрь,3 673.93
5393,Бензин автомобильной марки А-92,1 литр,ноябрь,27.23
5394,Бензин автомобильной марки А-80,1 литр,ноябрь,24.79
5395,Дизельное топливо,1 литр,ноябрь,30.90
5396,Рис среднезерный,1 кг,декабрь,54.75
5397,Рис длиннозерный,1 кг,декабрь,74.54
5398,Мука пшеничная высшего сорта,1 кг,декабрь,32.98
5399,Мука пшеничная первого сорта,1 кг,декабрь,26.66
5400,Крупа манная,1 кг,декабрь,37.00
5401,Пшено,1 кг,декабрь,36.84
5402,Хлеб из пшеничной муки 1 сорта,1 кг,декабрь,32.70
5403,Лепешка,1 кг,декабрь,39.23
5404,Макаронные изделия,1 кг,декабрь,49.49
5405,"Вермишель, лапша",1 кг,декабрь,43.55
5406,Говядина,1 кг,декабрь,172.43
5407,Свинина,1 кг,декабрь,178.21
5408,Баранина,1 кг,декабрь,179.66
5409,Конина,1 кг,декабрь,177.33
5410,Колбаса вареная,1 кг,декабрь,186.12
5411,Колбаса полукопченая,1 кг,декабрь,209.08
5412,"Сосиски, сардельки",1 кг,декабрь,171.67
5413,Рыба свежая и охлажденная,1 кг,декабрь,122.13
5414,Рыба замороженная неразделанная,1 кг,декабрь,109.74
5415,Сельдь соленая,1 кг,декабрь,85.47
5416,"Кефир, айран",1 литр,декабрь,39.47
5417,Сметана,1 литр,декабрь,193.61
5418,Сливки,1 литр,декабрь,138.51
5419,Творог жирный,1 кг,декабрь,204.32
5420,Творог нежирный,1 кг,декабрь,143.19
5421,Яйца куриные,10 штук,декабрь,61.83
5422,Масло сливочное,1 кг,декабрь,295.77
5423,Хлопковое масло,1 кг,декабрь,102.25
5424,Подсолнечное масло,1 кг,декабрь,97.36
5425,Яблоки,1 кг,декабрь,41.05
5426,Aбрикосы,1 кг,декабрь,0.00
5427,"Клубника, малина",1 кг,декабрь,85.00
5428,Вишня,1 кг,декабрь,0.00
5429,Виноград свежий,1 кг,декабрь,129.31
5430,Aпельсины,1 кг,декабрь,122.70
5431,Лимоны,1 кг,декабрь,152.35
5432,Дыни,1 кг,декабрь,26.76
5433,Aрбузы,1 кг,декабрь,11.09
5434,Виноград сушеный,1 кг,декабрь,120.97
5435,Яблоки сушеные,1 кг,декабрь,52.21
5436,Курага,1 кг,декабрь,145.96
5437,Орехи грецкие,1 кг,декабрь,118.94
5438,Капуста свежая,1 кг,декабрь,13.98
5439,Лук репчатый,1 кг,декабрь,24.27
5440,Свекла,1 кг,декабрь,25.47
5441,Морковь,1 кг,декабрь,15.16
5442,Огурцы свежие,1 кг,декабрь,70.56
5443,Тыква,1 кг,декабрь,19.38
5444,Лук зеленый,1 кг,декабрь,68.71
5445,Помидоры свежие,1 кг,декабрь,65.63
5446,"Редиска, редька",1 кг,декабрь,17.28
5447,Баклажаны,1 кг,декабрь,68.40
5448,Горох,1 кг,декабрь,37.01
5449,Чеснок,1 кг,декабрь,69.71
5450,Томатная паста,1 кг,декабрь,90.00
5451,Картофель,1 кг,декабрь,16.86
5452,Сахар-песок,1 кг,декабрь,36.45
5453,Мед пчелиный натуральный,1 кг,декабрь,240.53
5454,Соль,1 кг,декабрь,12.25
5455,Майонез,1 кг,декабрь,128.80
5456,Дрожжи,50 гр.,декабрь,10.37
5457,Кофе натуральный растворимый,100 гр.,декабрь,79.03
5458,Чай черный байховый,100 гр.,декабрь,29.79
5459,Вода минеральная,"0,5 л.",декабрь,6.59
5460,Водка крепостью 40 градусов,"0,5 л.",декабрь,52.55
5461,Коньяк отечественный,"0,5 л.",декабрь,198.40
5462,Вино игристое отечественное,"0,7 л.",декабрь,134.04
5463,Сигареты с фильтром,1 пачка,декабрь,29.87
5464,Цемент,50 кг,декабрь,275.47
5465,"Электроэнергия, основной тариф",1 кВт. час,декабрь,0.71
5466,Природный газ,за 1 человека в месяц,декабрь,98.95
5467,Сжиженный газ ,1 кг,декабрь,44.20
5468,Уголь,1 тонна,декабрь,3 721.04
5469,Бензин автомобильной марки А-92,1 литр,декабрь,23.84
5470,Бензин автомобильной марки А-80,1 литр,декабрь,21.49
5471,Дизельное топливо,1 литр,декабрь,27.80
5472,Рис среднезерный,1 кг,январь,54.70
5473,Рис длиннозерный,1 кг,январь,74.69
5474,Мука пшеничная высшего сорта,1 кг,январь,31.83
5475,Мука пшеничная первого сорта,1 кг,январь,25.26
5476,Крупа манная,1 кг,январь,37.17
5477,Пшено,1 кг,январь,-
5478,Хлеб из пшеничной муки 1 сорта,1 кг,январь,31.59
5479,Лепешка,1 кг,январь,39.06
5480,Макаронные изделия,1 кг,январь,48.83
5481,"Вермишель, лапша",1 кг,январь,43.12
5482,Говядина,1 кг,январь,177.56
5483,Свинина,1 кг,январь,184.47
5484,Баранина,1 кг,январь,189.90
5485,Конина,1 кг,январь,181.54
5486,Колбаса вареная,1 кг,январь,187.80
5487,Колбаса полукопченая,1 кг,январь,213.96
5488,"Сосиски, сардельки",1 кг,январь,173.72
5489,Рыба свежая и охлажденная,1 кг,январь,123.52
5490,Рыба замороженная неразделанная,1 кг,январь,109.74
5491,Сельдь соленая,1 кг,январь,86.02
5492,"Кефир, айран",1 литр,январь,39.82
5493,Сметана,1 литр,январь,196.38
5494,Сливки,1 литр,январь,138.67
5495,Творог жирный,1 кг,январь,207.46
5496,Творог нежирный,1 кг,январь,143.17
5497,Яйца куриные,10 штук,январь,64.84
5498,Масло сливочное,1 кг,январь,297.72
5499,Хлопковое масло,1 кг,январь,89.66
5500,Подсолнечное масло,1 кг,январь,90.50
5501,Яблоки,1 кг,январь,43.44
5502,Aбрикосы,1 кг,январь,0.00
5503,"Клубника, малина",1 кг,январь,85.00
5504,Вишня,1 кг,январь,0.00
5505,Виноград свежий,1 кг,январь,129.48
5506,Aпельсины,1 кг,январь,119.39
5507,Лимоны,1 кг,январь,153.17
5508,Дыни,1 кг,январь,16.59
5509,Aрбузы,1 кг,январь,16.21
5510,Виноград сушеный,1 кг,январь,122.43
5511,Яблоки сушеные,1 кг,январь,51.01
5512,Курага,1 кг,январь,146.85
5513,Орехи грецкие,1 кг,январь,119.25
5514,Капуста свежая,1 кг,январь,14.33
5515,Лук репчатый,1 кг,январь,23.21
5516,Свекла,1 кг,январь,25.15
5517,Морковь,1 кг,январь,15.58
5518,Огурцы свежие,1 кг,январь,116.21
5519,Тыква,1 кг,январь,18.36
5520,Лук зеленый,1 кг,январь,71.93
5521,Помидоры свежие,1 кг,январь,79.49
5522,"Редиска, редька",1 кг,январь,18.02
5523,Баклажаны,1 кг,январь,30.74
5524,Горох,1 кг,январь,37.09
5525,Чеснок,1 кг,январь,70.18
5526,Томатная паста,1 кг,январь,90.76
5527,Картофель,1 кг,январь,18.60
5528,Сахар-песок,1 кг,январь,35.64
5529,Мед пчелиный натуральный,1 кг,январь,241.26
5530,Соль,1 кг,январь,12.25
5531,Майонез,1 кг,январь,129.39
5532,Дрожжи,50 гр.,январь,10.80
5533,Кофе натуральный растворимый,100 гр.,январь,79.72
5534,Чай черный байховый,100 гр.,январь,30.11
5535,Вода минеральная,"0,5 л.",январь,6.59
5536,Водка крепостью 40 градусов,"0,5 л.",январь,52.66
5537,Коньяк отечественный,"0,5 л.",январь,204.10
5538,Вино игристое отечественное,"0,7 л.",январь,136.60
5539,Сигареты с фильтром,1 пачка,январь,29.87
5540,Цемент,50 кг,январь,273.62
5541,"Электроэнергия, основной тариф",1 кВт. час,январь,0.71
5542,Природный газ,за 1 человека в месяц,январь,98.95
5543,Сжиженный газ ,1 кг,январь,43.89
5544,Уголь,1 тонна,январь,3 733.32
5545,Бензин автомобильной марки А-92,1 литр,январь,20.75
5546,Бензин автомобильной марки А-80,1 литр,январь,19.17
5547,Дизельное топливо,1 литр,январь,25.41
5548,Рис среднезерный,1 кг,февраль,54.28
5549,Рис длиннозерный,1 кг,февраль,74.68
5550,Мука пшеничная высшего сорта,1 кг,февраль,30.06
5551,Мука пшеничная первого сорта,1 кг,февраль,23.63
5552,Крупа манная,1 кг,февраль,37.17
5553,Пшено,1 кг,февраль,-
5554,Хлеб из пшеничной муки 1 сорта,1 кг,февраль,31.57
5555,Лепешка,1 кг,февраль,37.96
5556,Макаронные изделия,1 кг,февраль,48.01
5557,"Вермишель, лапша",1 кг,февраль,42.55
5558,Говядина,1 кг,февраль,179.46
5559,Свинина,1 кг,февраль,193.08
5560,Баранина,1 кг,февраль,193.81
5561,Конина,1 кг,февраль,180.54
5562,Колбаса вареная,1 кг,февраль,190.95
5563,Колбаса полукопченая,1 кг,февраль,218.38
5564,"Сосиски, сардельки",1 кг,февраль,179.24
5565,Рыба свежая и охлажденная,1 кг,февраль,124.84
5566,Рыба замороженная неразделанная,1 кг,февраль,110.11
5567,Сельдь соленая,1 кг,февраль,85.77
5568,"Кефир, айран",1 литр,февраль,39.84
5569,Сметана,1 литр,февраль,196.96
5570,Сливки,1 литр,февраль,137.57
5571,Творог жирный,1 кг,февраль,208.37
5572,Творог нежирный,1 кг,февраль,139.73
5573,Яйца куриные,10 штук,февраль,62.34
5574,Масло сливочное,1 кг,февраль,297.72
5575,Хлопковое масло,1 кг,февраль,86.80
5576,Подсолнечное масло,1 кг,февраль,82.09
5577,Яблоки,1 кг,февраль,43.48
5578,Aбрикосы,1 кг,февраль,0.00
5579,"Клубника, малина",1 кг,февраль,85.00
5580,Вишня,1 кг,февраль,0.00
5581,Виноград свежий,1 кг,февраль,123.43
5582,Aпельсины,1 кг,февраль,118.23
5583,Лимоны,1 кг,февраль,151.13
5584,Дыни,1 кг,февраль,17.30
5585,Aрбузы,1 кг,февраль,25.00
5586,Виноград сушеный,1 кг,февраль,122.36
5587,Яблоки сушеные,1 кг,февраль,49.61
5588,Курага,1 кг,февраль,146.39
5589,Орехи грецкие,1 кг,февраль,118.85
5590,Капуста свежая,1 кг,февраль,14.12
5591,Лук репчатый,1 кг,февраль,22.11
5592,Свекла,1 кг,февраль,24.88
5593,Морковь,1 кг,февраль,15.35
5594,Огурцы свежие,1 кг,февраль,109.23
5595,Тыква,1 кг,февраль,16.65
5596,Лук зеленый,1 кг,февраль,72.96
5597,Помидоры свежие,1 кг,февраль,85.36
5598,"Редиска, редька",1 кг,февраль,17.98
5599,Баклажаны,1 кг,февраль,46.67
5600,Горох,1 кг,февраль,37.45
5601,Чеснок,1 кг,февраль,70.03
5602,Томатная паста,1 кг,февраль,91.11
5603,Картофель,1 кг,февраль,18.99
5604,Сахар-песок,1 кг,февраль,35.16
5605,Мед пчелиный натуральный,1 кг,февраль,241.38
5606,Соль,1 кг,февраль,12.25
5607,Майонез,1 кг,февраль,129.39
5608,Дрожжи,50 гр.,февраль,10.80
5609,Кофе натуральный растворимый,100 гр.,февраль,80.27
5610,Чай черный байховый,100 гр.,февраль,30.33
5611,Вода минеральная,"0,5 л.",февраль,6.59
5612,Водка крепостью 40 градусов,"0,5 л.",февраль,52.75
5613,Коньяк отечественный,"0,5 л.",февраль,206.12
5614,Вино игристое отечественное,"0,7 л.",февраль,136.60
5615,Сигареты с фильтром,1 пачка,февраль,29.89
5616,Цемент,50 кг,февраль,267.17
5617,"Электроэнергия, основной тариф",1 кВт. час,февраль,0.71
5618,Природный газ,за 1 человека в месяц,февраль,176.47
5619,Сжиженный газ ,1 кг,февраль,40.63
5620,Уголь,1 тонна,февраль,3 686.72
5621,Бензин автомобильной марки А-92,1 литр,февраль,20.33
5622,Бензин автомобильной марки А-80,1 литр,февраль,18.73
5623,Дизельное топливо,1 литр,февраль,23.50
5624,Рис среднезерный,1 кг,март,54.60
5625,Рис длиннозерный,1 кг,март,75.04
5626,Мука пшеничная высшего сорта,1 кг,март,29.28
5627,Мука пшеничная первого сорта,1 кг,март,23.07
5628,Крупа манная,1 кг,март,36.99
5629,Пшено,1 кг,март,-
5630,Хлеб из пшеничной муки 1 сорта,1 кг,март,31.40
5631,Лепешка,1 кг,март,37.29
5632,Макаронные изделия,1 кг,март,47.34
5633,"Вермишель, лапша",1 кг,март,41.09
5634,Говядина,1 кг,март,179.77
5635,Свинина,1 кг,март,196.84
5636,Баранина,1 кг,март,194.03
5637,Конина,1 кг,март,180.64
5638,Колбаса вареная,1 кг,март,191.22
5639,Колбаса полукопченая,1 кг,март,218.48
5640,"Сосиски, сардельки",1 кг,март,178.81
5641,Рыба свежая и охлажденная,1 кг,март,124.79
5642,Рыба замороженная неразделанная,1 кг,март,111.54
5643,Сельдь соленая,1 кг,март,85.30
5644,"Кефир, айран",1 литр,март,38.61
5645,Сметана,1 литр,март,196.25
5646,Сливки,1 литр,март,137.67
5647,Творог жирный,1 кг,март,210.69
5648,Творог нежирный,1 кг,март,138.91
5649,Яйца куриные,10 штук,март,58.32
5650,Масло сливочное,1 кг,март,295.70
5651,Хлопковое масло,1 кг,март,78.17
5652,Подсолнечное масло,1 кг,март,78.85
5653,Яблоки,1 кг,март,43.29
5654,Aбрикосы,1 кг,март,0.00
5655,"Клубника, малина",1 кг,март,85.00
5656,Вишня,1 кг,март,0.00
5657,Виноград свежий,1 кг,март,88.97
5658,Aпельсины,1 кг,март,119.17
5659,Лимоны,1 кг,март,148.11
5660,Дыни,1 кг,март,25.00
5661,Aрбузы,1 кг,март,25.00
5662,Виноград сушеный,1 кг,март,122.17
5663,Яблоки сушеные,1 кг,март,47.81
5664,Курага,1 кг,март,139.62
5665,Орехи грецкие,1 кг,март,117.11
5666,Капуста свежая,1 кг,март,13.48
5667,Лук репчатый,1 кг,март,22.41
5668,Свекла,1 кг,март,23.49
5669,Морковь,1 кг,март,14.17
5670,Огурцы свежие,1 кг,март,104.87
5671,Тыква,1 кг,март,14.14
5672,Лук зеленый,1 кг,март,71.13
5673,Помидоры свежие,1 кг,март,99.41
5674,"Редиска, редька",1 кг,март,16.31
5675,Баклажаны,1 кг,март,46.67
5676,Горох,1 кг,март,37.72
5677,Чеснок,1 кг,март,66.92
5678,Томатная паста,1 кг,март,91.17
5679,Картофель,1 кг,март,18.90
5680,Сахар-песок,1 кг,март,34.91
5681,Мед пчелиный натуральный,1 кг,март,244.04
5682,Соль,1 кг,март,12.22
5683,Майонез,1 кг,март,134.98
5684,Дрожжи,50 гр.,март,10.80
5685,Кофе натуральный растворимый,100 гр.,март,82.45
5686,Чай черный байховый,100 гр.,март,30.53
5687,Вода минеральная,"0,5 л.",март,6.59
5688,Водка крепостью 40 градусов,"0,5 л.",март,53.35
5689,Коньяк отечественный,"0,5 л.",март,210.01
5690,Вино игристое отечественное,"0,7 л.",март,137.09
5691,Сигареты с фильтром,1 пачка,март,29.92
5692,Цемент,50 кг,март,263.67
5693,"Электроэнергия, основной тариф",1 кВт. час,март,0.71
5694,Природный газ,за 1 человека в месяц,март,176.47
5695,Сжиженный газ ,1 кг,март,40.35
5696,Уголь,1 тонна,март,3 614.65
5697,Бензин автомобильной марки А-92,1 литр,март,19.51
5698,Бензин автомобильной марки А-80,1 литр,март,17.91
5699,Дизельное топливо,1 литр,март,22.99
5700,Рис среднезерный,1 кг,апрель,59.66
5701,Рис длиннозерный,1 кг,апрель,76.76
5702,Мука пшеничная высшего сорта,1 кг,апрель,27.59
5703,Мука пшеничная первого сорта,1 кг,апрель,22.10
5704,Крупа манная,1 кг,апрель,36.97
5705,Пшено,1 кг,апрель,-
5706,Хлеб из пшеничной муки 1 сорта,1 кг,апрель,30.47
5707,Лепешка,1 кг,апрель,37.08
5708,Макаронные изделия,1 кг,апрель,47.04
5709,"Вермишель, лапша",1 кг,апрель,39.86
5710,Говядина,1 кг,апрель,176.83
5711,Свинина,1 кг,апрель,201.04
5712,Баранина,1 кг,апрель,190.93
5713,Конина,1 кг,апрель,180.75
5714,Колбаса вареная,1 кг,апрель,191.56
5715,Колбаса полукопченая,1 кг,апрель,218.55
5716,"Сосиски, сардельки",1 кг,апрель,178.83
5717,Рыба свежая и охлажденная,1 кг,апрель,125.37
5718,Рыба замороженная неразделанная,1 кг,апрель,112.36
5719,Сельдь соленая,1 кг,апрель,85.06
5720,"Кефир, айран",1 литр,апрель,38.41
5721,Сметана,1 литр,апрель,193.98
5722,Сливки,1 литр,апрель,138.45
5723,Творог жирный,1 кг,апрель,211.87
5724,Творог нежирный,1 кг,апрель,138.04
5725,Яйца куриные,10 штук,апрель,54.56
5726,Масло сливочное,1 кг,апрель,293.65
5727,Хлопковое масло,1 кг,апрель,75.10
5728,Подсолнечное масло,1 кг,апрель,75.19
5729,Яблоки,1 кг,апрель,48.92
5730,Aбрикосы,1 кг,апрель,0.00
5731,"Клубника, малина",1 кг,апрель,85.00
5732,Вишня,1 кг,апрель,0.00
5733,Виноград свежий,1 кг,апрель,100.00
5734,Aпельсины,1 кг,апрель,116.70
5735,Лимоны,1 кг,апрель,137.32
5736,Дыни,1 кг,апрель,0.00
5737,Aрбузы,1 кг,апрель,0.00
5738,Виноград сушеный,1 кг,апрель,122.26
5739,Яблоки сушеные,1 кг,апрель,46.38
5740,Курага,1 кг,апрель,137.79
5741,Орехи грецкие,1 кг,апрель,116.69
5742,Капуста свежая,1 кг,апрель,13.14
5743,Лук репчатый,1 кг,апрель,29.52
5744,Свекла,1 кг,апрель,19.92
5745,Морковь,1 кг,апрель,12.86
5746,Огурцы свежие,1 кг,апрель,92.29
5747,Тыква,1 кг,апрель,12.73
5748,Лук зеленый,1 кг,апрель,69.59
5749,Помидоры свежие,1 кг,апрель,102.12
5750,"Редиска, редька",1 кг,апрель,19.86
5751,Баклажаны,1 кг,апрель,46.67
5752,Горох,1 кг,апрель,37.21
5753,Чеснок,1 кг,апрель,63.26
5754,Томатная паста,1 кг,апрель,91.22
