product,measure,year,month,cost
Конина,1 кг,2003,декабрь,88.38
Колбаса вареная,1 кг,2003,декабрь,107.11
Колбаса полукопченая,1 кг,2003,декабрь,121.36
"Сосиски, сардельки",1 кг,2003,декабрь,104.75
Рыба свежая и охлажденная,1 кг,2003,декабрь,53.46
Рыба замороженная неразделанная,1 кг,2003,декабрь,65.00
Сельдь соленая,1 кг,2003,декабрь,67.70
"Кефир, айран",1 литр,2003,декабрь,15.88
Сметана,1 литр,2003,декабрь,76.82
Сливки,1 литр,2003,декабрь,40.46
Творог жирный,1 кг,2003,декабрь,47.31
Творог нежирный,1 кг,2003,декабрь,26.39
Яйца куриные,10 штук,2003,декабрь,35.13
Масло сливочное,1 кг,2003,декабрь,142.81
Хлопковое масло,1 кг,2003,декабрь,50.18
Подсолнечное масло,1 кг,2003,декабрь,55.80
Яблоки,1 кг,2003,декабрь,20.68
Aбрикосы,1 кг,2003,декабрь,0.00
"Клубника, малина",1 кг,2003,декабрь,0.00
Вишня,1 кг,2003,декабрь,0.00
Виноград свежий,1 кг,2003,декабрь,66.11
Aпельсины,1 кг,2003,декабрь,75.29
Лимоны,1 кг,2003,декабрь,80.21
Дыни,1 кг,2003,декабрь,14.00
Aрбузы,1 кг,2003,декабрь,5.50
Виноград сушеный,1 кг,2003,декабрь,63.23
Яблоки сушеные,1 кг,2003,декабрь,18.94
Курага,1 кг,2003,декабрь,95.63
Орехи грецкие,1 кг,2003,декабрь,58.49
Капуста свежая,1 кг,2003,декабрь,6.47
Лук репчатый,1 кг,2003,декабрь,6.97
Свекла,1 кг,2003,декабрь,9.06
Морковь,1 кг,2003,декабрь,6.58
Огурцы свежие,1 кг,2003,декабрь,46.52
Тыква,1 кг,2003,декабрь,5.75
Лук зеленый,1 кг,2003,декабрь,22.67
Помидоры свежие,1 кг,2003,декабрь,46.46
"Редиска, редька",1 кг,2003,декабрь,8.40
Баклажаны,1 кг,2003,декабрь,26.25
Горох,1 кг,2003,декабрь,18.49
Чеснок,1 кг,2003,декабрь,24.50
Томатная паста,1 кг,2003,декабрь,40.41
Картофель,1 кг,2003,декабрь,6.10
Сахар-песок,1 кг,2003,декабрь,22.90
Мед пчелиный натуральный,1 кг,2003,декабрь,102.73
Соль,1 кг,2003,декабрь,4.72
Майонез,1 кг,2003,декабрь,78.31
Дрожжи,50 гр.,2003,декабрь,8.07
Кофе натуральный растворимый,100 гр.,2003,декабрь,61.30
Чай черный байховый,100 гр.,2003,декабрь,19.62
Вода минеральная,"0,5 л.",2003,декабрь,5.07
Водка крепостью 40 градусов,"0,5 л.",2003,декабрь,33.53
Коньяк отечественный,"0,5 л.",2003,декабрь,116.52
Вино игристое отечественное,"0,7 л.",2003,декабрь,91.17
Сигареты с фильтром,1 пачка,2003,декабрь,21.68
Цемент,50 кг,2003,декабрь,109.45
"Электроэнергия, основной тариф",1 кВт. час,2003,декабрь,0.62
Природный газ,за 1 человека в месяц,2003,декабрь,37.80
Сжиженный газ ,1 кг,2003,декабрь,17.55
Уголь,1 тонна,2003,декабрь,1 231.45
Бензин автомобильной марки А-92,1 литр,2003,декабрь,18.21
Бензин автомобильной марки А-80,1 литр,2003,декабрь,16.08
Дизельное топливо,1 литр,2003,декабрь,12.47
Рис среднезерный,1 кг,2004,январь,22.19
Рис длиннозерный,1 кг,2004,январь,24.90
Мука пшеничная высшего сорта,1 кг,2004,январь,17.23
Мука пшеничная первого сорта,1 кг,2004,январь,14.18
Крупа манная,1 кг,2004,январь,20.02
Пшено,1 кг,2004,январь,23.95
Хлеб из пшеничной муки 1 сорта,1 кг,2004,январь,14.18
Лепешка,1 кг,2004,январь,17.19
Макаронные изделия,1 кг,2004,январь,22.47
"Вермишель, лапша",1 кг,2004,январь,15.63
Говядина,1 кг,2004,январь,91.62
Свинина,1 кг,2004,январь,86.59
Баранина,1 кг,2004,январь,112.21
Конина,1 кг,2004,январь,90.01
Колбаса вареная,1 кг,2004,январь,107.16
Колбаса полукопченая,1 кг,2004,январь,121.34
"Сосиски, сардельки",1 кг,2004,январь,104.69
Рыба свежая и охлажденная,1 кг,2004,январь,54.91
Рыба замороженная неразделанная,1 кг,2004,январь,66.67
Сельдь соленая,1 кг,2004,январь,66.18
"Кефир, айран",1 литр,2004,январь,16.97
Сметана,1 литр,2004,январь,83.60
Сливки,1 литр,2004,январь,41.78
Творог жирный,1 кг,2004,январь,55.32
Творог нежирный,1 кг,2004,январь,27.93
Яйца куриные,10 штук,2004,январь,33.24
Масло сливочное,1 кг,2004,январь,150.93
Хлопковое масло,1 кг,2004,январь,50.32
Подсолнечное масло,1 кг,2004,январь,56.09
Яблоки,1 кг,2004,январь,21.73
Aбрикосы,1 кг,2004,январь,0.00
"Клубника, малина",1 кг,2004,январь,0.00
Вишня,1 кг,2004,январь,0.00
Виноград свежий,1 кг,2004,январь,105.62
Aпельсины,1 кг,2004,январь,74.35
Лимоны,1 кг,2004,январь,77.46
Дыни,1 кг,2004,январь,24.60
Aрбузы,1 кг,2004,январь,5.74
Виноград сушеный,1 кг,2004,январь,63.78
Яблоки сушеные,1 кг,2004,январь,19.18
Курага,1 кг,2004,январь,102.20
Орехи грецкие,1 кг,2004,январь,58.80
Капуста свежая,1 кг,2004,январь,6.55
Лук репчатый,1 кг,2004,январь,7.07
Свекла,1 кг,2004,январь,9.16
Морковь,1 кг,2004,январь,6.68
Огурцы свежие,1 кг,2004,январь,52.52
Тыква,1 кг,2004,январь,5.89
Лук зеленый,1 кг,2004,январь,25.06
Помидоры свежие,1 кг,2004,январь,64.37
"Редиска, редька",1 кг,2004,январь,8.75
Баклажаны,1 кг,2004,январь,0.00
Горох,1 кг,2004,январь,18.92
Чеснок,1 кг,2004,январь,24.78
Томатная паста,1 кг,2004,январь,40.29
Картофель,1 кг,2004,январь,6.00
Сахар-песок,1 кг,2004,январь,22.80
Мед пчелиный натуральный,1 кг,2004,январь,102.67
Соль,1 кг,2004,январь,4.72
Майонез,1 кг,2004,январь,78.63
Дрожжи,50 гр.,2004,январь,8.07
Кофе натуральный растворимый,100 гр.,2004,январь,61.26
Чай черный байховый,100 гр.,2004,январь,19.58
Вода минеральная,"0,5 л.",2004,январь,5.07
Водка крепостью 40 градусов,"0,5 л.",2004,январь,33.68
Коньяк отечественный,"0,5 л.",2004,январь,116.46
Вино игристое отечественное,"0,7 л.",2004,январь,91.73
Сигареты с фильтром,1 пачка,2004,январь,21.65
Цемент,50 кг,2004,январь,106.38
"Электроэнергия, основной тариф",1 кВт. час,2004,январь,0.62
Природный газ,за 1 человека в месяц,2004,январь,37.80
Сжиженный газ ,1 кг,2004,январь,18.48
Уголь,1 тонна,2004,январь,1 240.83
Бензин автомобильной марки А-92,1 литр,2004,январь,16.51
Бензин автомобильной марки А-80,1 литр,2004,январь,14.55
Дизельное топливо,1 литр,2004,январь,12.37
Рис среднезерный,1 кг,2004,февраль,22.06
Рис длиннозерный,1 кг,2004,февраль,24.98
Мука пшеничная высшего сорта,1 кг,2004,февраль,17.49
Мука пшеничная первого сорта,1 кг,2004,февраль,14.49
Крупа манная,1 кг,2004,февраль,20.36
Пшено,1 кг,2004,февраль,24.21
Хлеб из пшеничной муки 1 сорта,1 кг,2004,февраль,15.01
Лепешка,1 кг,2004,февраль,18.53
Макаронные изделия,1 кг,2004,февраль,22.53
"Вермишель, лапша",1 кг,2004,февраль,15.83
Говядина,1 кг,2004,февраль,91.84
Свинина,1 кг,2004,февраль,82.03
Баранина,1 кг,2004,февраль,120.85
Конина,1 кг,2004,февраль,90.34
Колбаса вареная,1 кг,2004,февраль,106.15
Колбаса полукопченая,1 кг,2004,февраль,121.02
"Сосиски, сардельки",1 кг,2004,февраль,104.28
Рыба свежая и охлажденная,1 кг,2004,февраль,54.00
Рыба замороженная неразделанная,1 кг,2004,февраль,68.33
Сельдь соленая,1 кг,2004,февраль,65.15
"Кефир, айран",1 литр,2004,февраль,18.22
Сметана,1 литр,2004,февраль,90.12
Сливки,1 литр,2004,февраль,43.32
Творог жирный,1 кг,2004,февраль,62.54
Творог нежирный,1 кг,2004,февраль,30.36
Яйца куриные,10 штук,2004,февраль,29.43
Масло сливочное,1 кг,2004,февраль,152.21
Хлопковое масло,1 кг,2004,февраль,50.14
Подсолнечное масло,1 кг,2004,февраль,56.06
Яблоки,1 кг,2004,февраль,24.91
Aбрикосы,1 кг,2004,февраль,0.00
"Клубника, малина",1 кг,2004,февраль,0.00
Вишня,1 кг,2004,февраль,0.00
Виноград свежий,1 кг,2004,февраль,122.27
Aпельсины,1 кг,2004,февраль,73.69
Лимоны,1 кг,2004,февраль,76.72
Дыни,1 кг,2004,февраль,16.00
Aрбузы,1 кг,2004,февраль,5.00
Виноград сушеный,1 кг,2004,февраль,64.48
Яблоки сушеные,1 кг,2004,февраль,19.36
Курага,1 кг,2004,февраль,103.27
Орехи грецкие,1 кг,2004,февраль,59.88
Капуста свежая,1 кг,2004,февраль,6.14
Лук репчатый,1 кг,2004,февраль,7.45
Свекла,1 кг,2004,февраль,8.22
Морковь,1 кг,2004,февраль,5.55
Огурцы свежие,1 кг,2004,февраль,49.82
Тыква,1 кг,2004,февраль,6.04
Лук зеленый,1 кг,2004,февраль,24.43
Помидоры свежие,1 кг,2004,февраль,59.38
"Редиска, редька",1 кг,2004,февраль,8.65
Баклажаны,1 кг,2004,февраль,0.00
Горох,1 кг,2004,февраль,19.30
Чеснок,1 кг,2004,февраль,30.09
Томатная паста,1 кг,2004,февраль,40.30
Картофель,1 кг,2004,февраль,5.56
Сахар-песок,1 кг,2004,февраль,22.76
Мед пчелиный натуральный,1 кг,2004,февраль,103.69
Соль,1 кг,2004,февраль,4.72
Майонез,1 кг,2004,февраль,78.20
Дрожжи,50 гр.,2004,февраль,8.41
Кофе натуральный растворимый,100 гр.,2004,февраль,60.48
Чай черный байховый,100 гр.,2004,февраль,19.50
Вода минеральная,"0,5 л.",2004,февраль,5.05
Водка крепостью 40 градусов,"0,5 л.",2004,февраль,34.12
Коньяк отечественный,"0,5 л.",2004,февраль,116.72
Вино игристое отечественное,"0,7 л.",2004,февраль,91.95
Сигареты с фильтром,1 пачка,2004,февраль,21.75
Цемент,50 кг,2004,февраль,100.12
"Электроэнергия, основной тариф",1 кВт. час,2004,февраль,0.62
Природный газ,за 1 человека в месяц,2004,февраль,37.80
Сжиженный газ ,1 кг,2004,февраль,17.55
Уголь,1 тонна,2004,февраль,1 195.30
Бензин автомобильной марки А-92,1 литр,2004,февраль,15.48
Бензин автомобильной марки А-80,1 литр,2004,февраль,13.54
Дизельное топливо,1 литр,2004,февраль,12.07
Рис среднезерный,1 кг,2004,март,21.77
Рис длиннозерный,1 кг,2004,март,25.18
Мука пшеничная высшего сорта,1 кг,2004,март,17.77
Мука пшеничная первого сорта,1 кг,2004,март,14.85
Крупа манная,1 кг,2004,март,20.49
Пшено,1 кг,2004,март,24.23
Хлеб из пшеничной муки 1 сорта,1 кг,2004,март,15.26
Лепешка,1 кг,2004,март,18.68
Макаронные изделия,1 кг,2004,март,22.70
"Вермишель, лапша",1 кг,2004,март,16.12
Говядина,1 кг,2004,март,91.72
Свинина,1 кг,2004,март,80.14
Баранина,1 кг,2004,март,122.46
Конина,1 кг,2004,март,90.38
Колбаса вареная,1 кг,2004,март,106.46
Колбаса полукопченая,1 кг,2004,март,123.98
"Сосиски, сардельки",1 кг,2004,март,102.69
Рыба свежая и охлажденная,1 кг,2004,март,53.84
Рыба замороженная неразделанная,1 кг,2004,март,68.33
Сельдь соленая,1 кг,2004,март,65.13
"Кефир, айран",1 литр,2004,март,17.53
Сметана,1 литр,2004,март,90.15
Сливки,1 литр,2004,март,43.22
Творог жирный,1 кг,2004,март,62.55
Творог нежирный,1 кг,2004,март,31.31
Яйца куриные,10 штук,2004,март,25.28
Масло сливочное,1 кг,2004,март,158.94
Хлопковое масло,1 кг,2004,март,50.28
Подсолнечное масло,1 кг,2004,март,56.19
Яблоки,1 кг,2004,март,26.30
Aбрикосы,1 кг,2004,март,0.00
"Клубника, малина",1 кг,2004,март,0.00
Вишня,1 кг,2004,март,0.00
Виноград свежий,1 кг,2004,март,157.50
Aпельсины,1 кг,2004,март,72.08
Лимоны,1 кг,2004,март,79.02
Дыни,1 кг,2004,март,17.00
Aрбузы,1 кг,2004,март,0.00
Виноград сушеный,1 кг,2004,март,64.42
Яблоки сушеные,1 кг,2004,март,19.43
Курага,1 кг,2004,март,103.68
Орехи грецкие,1 кг,2004,март,60.59
Капуста свежая,1 кг,2004,март,5.58
Лук репчатый,1 кг,2004,март,7.12
Свекла,1 кг,2004,март,7.23
Морковь,1 кг,2004,март,4.86
Огурцы свежие,1 кг,2004,март,57.45
Тыква,1 кг,2004,март,6.35
Лук зеленый,1 кг,2004,март,23.70
Помидоры свежие,1 кг,2004,март,89.34
"Редиска, редька",1 кг,2004,март,5.05
Баклажаны,1 кг,2004,март,0.00
Горох,1 кг,2004,март,19.27
Чеснок,1 кг,2004,март,34.03
Томатная паста,1 кг,2004,март,40.79
Картофель,1 кг,2004,март,4.42
Сахар-песок,1 кг,2004,март,22.92
Мед пчелиный натуральный,1 кг,2004,март,104.02
Соль,1 кг,2004,март,4.72
Майонез,1 кг,2004,март,78.26
Дрожжи,50 гр.,2004,март,8.41
Кофе натуральный растворимый,100 гр.,2004,март,62.74
Чай черный байховый,100 гр.,2004,март,19.50
Вода минеральная,"0,5 л.",2004,март,5.05
Водка крепостью 40 градусов,"0,5 л.",2004,март,34.13
Коньяк отечественный,"0,5 л.",2004,март,117.13
Вино игристое отечественное,"0,7 л.",2004,март,91.95
Сигареты с фильтром,1 пачка,2004,март,21.79
Цемент,50 кг,2004,март,94.98
"Электроэнергия, основной тариф",1 кВт. час,2004,март,0.62
Природный газ,за 1 человека в месяц,2004,март,37.80
Сжиженный газ ,1 кг,2004,март,18.55
Уголь,1 тонна,2004,март,1 177.96
Бензин автомобильной марки А-92,1 литр,2004,март,15.48
Бензин автомобильной марки А-80,1 литр,2004,март,13.34
Дизельное топливо,1 литр,2004,март,11.93
Рис среднезерный,1 кг,2004,апрель,21.77
Рис длиннозерный,1 кг,2004,апрель,25.23
Мука пшеничная высшего сорта,1 кг,2004,апрель,18.04
Мука пшеничная первого сорта,1 кг,2004,апрель,14.97
Крупа манная,1 кг,2004,апрель,20.60
Пшено,1 кг,2004,апрель,24.69
Хлеб из пшеничной муки 1 сорта,1 кг,2004,апрель,15.32
Лепешка,1 кг,2004,апрель,18.70
Макаронные изделия,1 кг,2004,апрель,22.27
"Вермишель, лапша",1 кг,2004,апрель,16.06
Говядина,1 кг,2004,апрель,92.01
Свинина,1 кг,2004,апрель,78.49
Баранина,1 кг,2004,апрель,120.53
Конина,1 кг,2004,апрель,91.26
Колбаса вареная,1 кг,2004,апрель,106.57
Колбаса полукопченая,1 кг,2004,апрель,123.57
"Сосиски, сардельки",1 кг,2004,апрель,102.47
Рыба свежая и охлажденная,1 кг,2004,апрель,54.56
Рыба замороженная неразделанная,1 кг,2004,апрель,68.33
Сельдь соленая,1 кг,2004,апрель,65.10
"Кефир, айран",1 литр,2004,апрель,17.39
Сметана,1 литр,2004,апрель,89.44
Сливки,1 литр,2004,апрель,42.82
Творог жирный,1 кг,2004,апрель,61.41
Творог нежирный,1 кг,2004,апрель,31.77
Яйца куриные,10 штук,2004,апрель,23.59
Масло сливочное,1 кг,2004,апрель,162.89
Хлопковое масло,1 кг,2004,апрель,50.62
Подсолнечное масло,1 кг,2004,апрель,56.30
Яблоки,1 кг,2004,апрель,28.45
Aбрикосы,1 кг,2004,апрель,0.00
"Клубника, малина",1 кг,2004,апрель,0.00
Вишня,1 кг,2004,апрель,0.00
Виноград свежий,1 кг,2004,апрель,185.00
Aпельсины,1 кг,2004,апрель,71.75
Лимоны,1 кг,2004,апрель,82.06
Дыни,1 кг,2004,апрель,17.00
Aрбузы,1 кг,2004,апрель,0.00
Виноград сушеный,1 кг,2004,апрель,64.77
Яблоки сушеные,1 кг,2004,апрель,22.67
Курага,1 кг,2004,апрель,104.86
Орехи грецкие,1 кг,2004,апрель,59.52
Капуста свежая,1 кг,2004,апрель,5.27
Лук репчатый,1 кг,2004,апрель,6.56
Свекла,1 кг,2004,апрель,7.02
Морковь,1 кг,2004,апрель,4.89
Огурцы свежие,1 кг,2004,апрель,41.60
Тыква,1 кг,2004,апрель,6.32
Лук зеленый,1 кг,2004,апрель,21.16
Помидоры свежие,1 кг,2004,апрель,65.25
"Редиска, редька",1 кг,2004,апрель,6.89
Баклажаны,1 кг,2004,апрель,0.00
Горох,1 кг,2004,апрель,19.23
Чеснок,1 кг,2004,апрель,32.91
Томатная паста,1 кг,2004,апрель,41.18
Картофель,1 кг,2004,апрель,3.42
Сахар-песок,1 кг,2004,апрель,23.31
Мед пчелиный натуральный,1 кг,2004,апрель,104.04
Соль,1 кг,2004,апрель,7.10
Майонез,1 кг,2004,апрель,78.25
Дрожжи,50 гр.,2004,апрель,8.41
Кофе натуральный растворимый,100 гр.,2004,апрель,62.80
Чай черный байховый,100 гр.,2004,апрель,19.47
Вода минеральная,"0,5 л.",2004,апрель,5.04
Водка крепостью 40 градусов,"0,5 л.",2004,апрель,34.10
Коньяк отечественный,"0,5 л.",2004,апрель,117.15
Вино игристое отечественное,"0,7 л.",2004,апрель,91.94
Сигареты с фильтром,1 пачка,2004,апрель,21.78
Цемент,50 кг,2004,апрель,96.70
"Электроэнергия, основной тариф",1 кВт. час,2004,апрель,0.62
Природный газ,за 1 человека в месяц,2004,апрель,37.80
Сжиженный газ ,1 кг,2004,апрель,18.51
Уголь,1 тонна,2004,апрель,1 149.46
Бензин автомобильной марки А-92,1 литр,2004,апрель,15.59
Бензин автомобильной марки А-80,1 литр,2004,апрель,13.48
Дизельное топливо,1 литр,2004,апрель,11.93
Рис среднезерный,1 кг,2004,май,21.80
Рис длиннозерный,1 кг,2004,май,25.23
Мука пшеничная высшего сорта,1 кг,2004,май,18.12
Мука пшеничная первого сорта,1 кг,2004,май,15.01
Крупа манная,1 кг,2004,май,20.68
Пшено,1 кг,2004,май,24.66
Хлеб из пшеничной муки 1 сорта,1 кг,2004,май,15.36
Лепешка,1 кг,2004,май,18.85
Макаронные изделия,1 кг,2004,май,22.29
"Вермишель, лапша",1 кг,2004,май,16.08
Говядина,1 кг,2004,май,94.07
Свинина,1 кг,2004,май,81.02
Баранина,1 кг,2004,май,121.44
Конина,1 кг,2004,май,95.69
Колбаса вареная,1 кг,2004,май,105.63
Колбаса полукопченая,1 кг,2004,май,122.72
"Сосиски, сардельки",1 кг,2004,май,101.89
Рыба свежая и охлажденная,1 кг,2004,май,56.08
Рыба замороженная неразделанная,1 кг,2004,май,68.33
Сельдь соленая,1 кг,2004,май,64.86
"Кефир, айран",1 литр,2004,май,17.82
Сметана,1 литр,2004,май,87.65
Сливки,1 литр,2004,май,41.74
Творог жирный,1 кг,2004,май,59.93
Творог нежирный,1 кг,2004,май,30.78
Яйца куриные,10 штук,2004,май,24.69
Масло сливочное,1 кг,2004,май,163.34
Хлопковое масло,1 кг,2004,май,51.33
Подсолнечное масло,1 кг,2004,май,56.35
Яблоки,1 кг,2004,май,36.03
Aбрикосы,1 кг,2004,май,45.63
"Клубника, малина",1 кг,2004,май,31.13
Вишня,1 кг,2004,май,56.62
Виноград свежий,1 кг,2004,май,198.33
Aпельсины,1 кг,2004,май,72.84
Лимоны,1 кг,2004,май,90.24
Дыни,1 кг,2004,май,0.00
Aрбузы,1 кг,2004,май,0.00
Виноград сушеный,1 кг,2004,май,91.63
Яблоки сушеные,1 кг,2004,май,33.99
Курага,1 кг,2004,май,104.83
Орехи грецкие,1 кг,2004,май,59.67
Капуста свежая,1 кг,2004,май,5.17
Лук репчатый,1 кг,2004,май,7.79
Свекла,1 кг,2004,май,6.33
Морковь,1 кг,2004,май,4.51
Огурцы свежие,1 кг,2004,май,24.73
Тыква,1 кг,2004,май,6.50
Лук зеленый,1 кг,2004,май,15.07
Помидоры свежие,1 кг,2004,май,42.54
"Редиска, редька",1 кг,2004,май,7.53
Баклажаны,1 кг,2004,май,0.00
Горох,1 кг,2004,май,19.21
Чеснок,1 кг,2004,май,34.89
Томатная паста,1 кг,2004,май,41.13
Картофель,1 кг,2004,май,2.95
Сахар-песок,1 кг,2004,май,23.43
Мед пчелиный натуральный,1 кг,2004,май,104.56
Соль,1 кг,2004,май,7.26
Майонез,1 кг,2004,май,78.06
Дрожжи,50 гр.,2004,май,8.41
Кофе натуральный растворимый,100 гр.,2004,май,62.73
Чай черный байховый,100 гр.,2004,май,19.88
Вода минеральная,"0,5 л.",2004,май,5.03
Водка крепостью 40 градусов,"0,5 л.",2004,май,34.07
Коньяк отечественный,"0,5 л.",2004,май,117.18
Вино игристое отечественное,"0,7 л.",2004,май,91.95
Сигареты с фильтром,1 пачка,2004,май,21.68
Цемент,50 кг,2004,май,144.76
"Электроэнергия, основной тариф",1 кВт. час,2004,май,0.62
Природный газ,за 1 человека в месяц,2004,май,37.80
Сжиженный газ ,1 кг,2004,май,18.46
Уголь,1 тонна,2004,май,1 092.22
Бензин автомобильной марки А-92,1 литр,2004,май,15.39
Бензин автомобильной марки А-80,1 литр,2004,май,13.23
Дизельное топливо,1 литр,2004,май,12.06
Рис среднезерный,1 кг,2004,июнь,22.02
Рис длиннозерный,1 кг,2004,июнь,25.21
Мука пшеничная высшего сорта,1 кг,2004,июнь,18.10
Мука пшеничная первого сорта,1 кг,2004,июнь,14.98
Крупа манная,1 кг,2004,июнь,20.69
Пшено,1 кг,2004,июнь,24.28
Хлеб из пшеничной муки 1 сорта,1 кг,2004,июнь,15.37
Лепешка,1 кг,2004,июнь,18.79
Макаронные изделия,1 кг,2004,июнь,21.76
"Вермишель, лапша",1 кг,2004,июнь,16.06
Говядина,1 кг,2004,июнь,96.07
Свинина,1 кг,2004,июнь,88.00
Баранина,1 кг,2004,июнь,123.93
Конина,1 кг,2004,июнь,95.64
Колбаса вареная,1 кг,2004,июнь,105.67
Колбаса полукопченая,1 кг,2004,июнь,122.76
"Сосиски, сардельки",1 кг,2004,июнь,101.97
Рыба свежая и охлажденная,1 кг,2004,июнь,57.50
Рыба замороженная неразделанная,1 кг,2004,июнь,68.33
Сельдь соленая,1 кг,2004,июнь,64.91
"Кефир, айран",1 литр,2004,июнь,17.73
Сметана,1 литр,2004,июнь,84.03
Сливки,1 литр,2004,июнь,40.77
Творог жирный,1 кг,2004,июнь,57.46
Творог нежирный,1 кг,2004,июнь,27.24
Яйца куриные,10 штук,2004,июнь,27.21
Масло сливочное,1 кг,2004,июнь,147.13
Хлопковое масло,1 кг,2004,июнь,51.01
Подсолнечное масло,1 кг,2004,июнь,55.00
Яблоки,1 кг,2004,июнь,36.41
Aбрикосы,1 кг,2004,июнь,23.92
"Клубника, малина",1 кг,2004,июнь,25.73
Вишня,1 кг,2004,июнь,30.93
Виноград свежий,1 кг,2004,июнь,119.26
Aпельсины,1 кг,2004,июнь,72.84
Лимоны,1 кг,2004,июнь,93.80
Дыни,1 кг,2004,июнь,0.00
Aрбузы,1 кг,2004,июнь,10.72
Виноград сушеный,1 кг,2004,июнь,94.62
Яблоки сушеные,1 кг,2004,июнь,36.50
Курага,1 кг,2004,июнь,106.47
Орехи грецкие,1 кг,2004,июнь,66.09
Капуста свежая,1 кг,2004,июнь,5.63
Лук репчатый,1 кг,2004,июнь,8.20
Свекла,1 кг,2004,июнь,6.23
Морковь,1 кг,2004,июнь,5.51
Огурцы свежие,1 кг,2004,июнь,15.21
Тыква,1 кг,2004,июнь,6.43
Лук зеленый,1 кг,2004,июнь,13.49
Помидоры свежие,1 кг,2004,июнь,19.67
"Редиска, редька",1 кг,2004,июнь,6.20
Баклажаны,1 кг,2004,июнь,24.89
Горох,1 кг,2004,июнь,19.17
Чеснок,1 кг,2004,июнь,33.28
Томатная паста,1 кг,2004,июнь,41.07
Картофель,1 кг,2004,июнь,4.42
Сахар-песок,1 кг,2004,июнь,23.55
Мед пчелиный натуральный,1 кг,2004,июнь,104.50
Соль,1 кг,2004,июнь,7.24
Майонез,1 кг,2004,июнь,77.90
Дрожжи,50 гр.,2004,июнь,8.43
Кофе натуральный растворимый,100 гр.,2004,июнь,62.54
Чай черный байховый,100 гр.,2004,июнь,19.85
Вода минеральная,"0,5 л.",2004,июнь,5.01
Водка крепостью 40 градусов,"0,5 л.",2004,июнь,33.99
Коньяк отечественный,"0,5 л.",2004,июнь,116.95
Вино игристое отечественное,"0,7 л.",2004,июнь,91.76
Сигареты с фильтром,1 пачка,2004,июнь,21.79
Цемент,50 кг,2004,июнь,155.73
"Электроэнергия, основной тариф",1 кВт. час,2004,июнь,0.62
Природный газ,за 1 человека в месяц,2004,июнь,38.00
Сжиженный газ ,1 кг,2004,июнь,18.43
Уголь,1 тонна,2004,июнь,1 088.00
Бензин автомобильной марки А-92,1 литр,2004,июнь,15.54
Бензин автомобильной марки А-80,1 литр,2004,июнь,13.35
Дизельное топливо,1 литр,2004,июнь,12.06
Рис среднезерный,1 кг,2004,июль,22.40
Рис длиннозерный,1 кг,2004,июль,25.41
Мука пшеничная высшего сорта,1 кг,2004,июль,18.07
Мука пшеничная первого сорта,1 кг,2004,июль,14.97
Крупа манная,1 кг,2004,июль,20.67
Пшено,1 кг,2004,июль,24.28
Хлеб из пшеничной муки 1 сорта,1 кг,2004,июль,15.37
Лепешка,1 кг,2004,июль,18.80
Макаронные изделия,1 кг,2004,июль,21.77
"Вермишель, лапша",1 кг,2004,июль,16.06
Говядина,1 кг,2004,июль,96.28
Свинина,1 кг,2004,июль,89.39
Баранина,1 кг,2004,июль,123.81
Конина,1 кг,2004,июль,95.19
Колбаса вареная,1 кг,2004,июль,105.79
Колбаса полукопченая,1 кг,2004,июль,122.81
"Сосиски, сардельки",1 кг,2004,июль,102.09
Рыба свежая и охлажденная,1 кг,2004,июль,56.30
Рыба замороженная неразделанная,1 кг,2004,июль,68.33
Сельдь соленая,1 кг,2004,июль,64.90
"Кефир, айран",1 литр,2004,июль,17.64
Сметана,1 литр,2004,июль,83.85
Сливки,1 литр,2004,июль,40.90
Творог жирный,1 кг,2004,июль,57.46
Творог нежирный,1 кг,2004,июль,27.26
Яйца куриные,10 штук,2004,июль,27.67
Масло сливочное,1 кг,2004,июль,142.19
Хлопковое масло,1 кг,2004,июль,50.93
Подсолнечное масло,1 кг,2004,июль,55.03
Яблоки,1 кг,2004,июль,29.79
Aбрикосы,1 кг,2004,июль,14.74
"Клубника, малина",1 кг,2004,июль,25.71
Вишня,1 кг,2004,июль,24.79
Виноград свежий,1 кг,2004,июль,46.92
Aпельсины,1 кг,2004,июль,71.97
Лимоны,1 кг,2004,июль,97.97
Дыни,1 кг,2004,июль,20.76
Aрбузы,1 кг,2004,июль,6.51
Виноград сушеный,1 кг,2004,июль,100.38
Яблоки сушеные,1 кг,2004,июль,41.06
Курага,1 кг,2004,июль,127.32
Орехи грецкие,1 кг,2004,июль,66.23
Капуста свежая,1 кг,2004,июль,5.17
Лук репчатый,1 кг,2004,июль,6.83
Свекла,1 кг,2004,июль,9.87
Морковь,1 кг,2004,июль,6.13
Огурцы свежие,1 кг,2004,июль,6.49
Тыква,1 кг,2004,июль,6.46
Лук зеленый,1 кг,2004,июль,12.80
Помидоры свежие,1 кг,2004,июль,10.46
"Редиска, редька",1 кг,2004,июль,16.54
Баклажаны,1 кг,2004,июль,10.61
Горох,1 кг,2004,июль,19.98
Чеснок,1 кг,2004,июль,36.42
Томатная паста,1 кг,2004,июль,41.07
Картофель,1 кг,2004,июль,4.86
Сахар-песок,1 кг,2004,июль,24.21
Мед пчелиный натуральный,1 кг,2004,июль,104.13
Соль,1 кг,2004,июль,7.24
Майонез,1 кг,2004,июль,77.88
Дрожжи,50 гр.,2004,июль,8.43
