product,measure,year,month,cost
Яблоки сушеные,1 кг,2003,февраль,15.21
Курага,1 кг,2003,февраль,54.05
Орехи грецкие,1 кг,2003,февраль,48.20
Капуста свежая,1 кг,2003,февраль,8.46
Лук репчатый,1 кг,2003,февраль,7.31
Свекла,1 кг,2003,февраль,6.74
Морковь,1 кг,2003,февраль,6.86
Огурцы свежие,1 кг,2003,февраль,56.98
Тыква,1 кг,2003,февраль,6.60
Лук зеленый,1 кг,2003,февраль,19.81
Помидоры свежие,1 кг,2003,февраль,47.69
"Редиска, редька",1 кг,2003,февраль,4.72
Баклажаны,1 кг,2003,февраль,0.00
Горох,1 кг,2003,февраль,20.98
Чеснок,1 кг,2003,февраль,31.85
Томатная паста,1 кг,2003,февраль,41.18
Картофель,1 кг,2003,февраль,9.14
Сахар-песок,1 кг,2003,февраль,22.63
Мед пчелиный натуральный,1 кг,2003,февраль,94.16
Соль,1 кг,2003,февраль,4.67
Майонез,1 кг,2003,февраль,78.57
Дрожжи,50 гр.,2003,февраль,8.10
Кофе натуральный растворимый,100 гр.,2003,февраль,62.49
Чай черный байховый,100 гр.,2003,февраль,19.80
Вода минеральная,"0,5 л.",2003,февраль,5.11
Водка крепостью 40 градусов,"0,5 л.",2003,февраль,33.93
Коньяк отечественный,"0,5 л.",2003,февраль,114.65
Вино игристое отечественное,"0,7 л.",2003,февраль,91.49
Сигареты с фильтром,1 пачка,2003,февраль,21.96
Цемент,50 кг,2003,февраль,87.83
"Электроэнергия, основной тариф",1 кВт. час,2003,февраль,0.62
Природный газ,за 1 человека в месяц,2003,февраль,36.99
Сжиженный газ ,1 кг,2003,февраль,13.49
Уголь,1 тонна,2003,февраль,1 110.60
Бензин автомобильной марки А-92,1 литр,2003,февраль,16.27
Бензин автомобильной марки А-80,1 литр,2003,февраль,12.56
Дизельное топливо,1 литр,2003,февраль,9.99
Рис среднезерный,1 кг,2003,март,23.77
Рис длиннозерный,1 кг,2003,март,25.17
Мука пшеничная высшего сорта,1 кг,2003,март,12.97
Мука пшеничная первого сорта,1 кг,2003,март,9.99
Крупа манная,1 кг,2003,март,19.99
Пшено,1 кг,2003,март,17.68
Хлеб из пшеничной муки 1 сорта,1 кг,2003,март,12.60
Лепешка,1 кг,2003,март,13.57
Макаронные изделия,1 кг,2003,март,19.12
"Вермишель, лапша",1 кг,2003,март,14.92
Говядина,1 кг,2003,март,85.24
Свинина,1 кг,2003,март,93.07
Баранина,1 кг,2003,март,99.90
Конина,1 кг,2003,март,84.54
Колбаса вареная,1 кг,2003,март,106.98
Колбаса полукопченая,1 кг,2003,март,121.44
"Сосиски, сардельки",1 кг,2003,март,103.97
Рыба свежая и охлажденная,1 кг,2003,март,57.29
Рыба замороженная неразделанная,1 кг,2003,март,64.67
Сельдь соленая,1 кг,2003,март,71.79
"Кефир, айран",1 литр,2003,март,15.46
Сметана,1 литр,2003,март,74.85
Сливки,1 литр,2003,март,39.59
Творог жирный,1 кг,2003,март,44.36
Творог нежирный,1 кг,2003,март,22.33
Яйца куриные,10 штук,2003,март,26.80
Масло сливочное,1 кг,2003,март,137.80
Хлопковое масло,1 кг,2003,март,47.22
Подсолнечное масло,1 кг,2003,март,56.75
Яблоки,1 кг,2003,март,23.80
Aбрикосы,1 кг,2003,март,0.00
"Клубника, малина",1 кг,2003,март,0.00
Вишня,1 кг,2003,март,0.00
Виноград свежий,1 кг,2003,март,96.78
Aпельсины,1 кг,2003,март,71.13
Лимоны,1 кг,2003,март,65.45
Дыни,1 кг,2003,март,20.46
Aрбузы,1 кг,2003,март,0.00
Виноград сушеный,1 кг,2003,март,45.43
Яблоки сушеные,1 кг,2003,март,15.43
Курага,1 кг,2003,март,53.94
Орехи грецкие,1 кг,2003,март,48.72
Капуста свежая,1 кг,2003,март,10.90
Лук репчатый,1 кг,2003,март,8.40
Свекла,1 кг,2003,март,6.86
Морковь,1 кг,2003,март,7.57
Огурцы свежие,1 кг,2003,март,58.54
Тыква,1 кг,2003,март,7.22
Лук зеленый,1 кг,2003,март,21.71
Помидоры свежие,1 кг,2003,март,61.46
"Редиска, редька",1 кг,2003,март,4.95
Баклажаны,1 кг,2003,март,0.00
Горох,1 кг,2003,март,20.93
Чеснок,1 кг,2003,март,33.02
Томатная паста,1 кг,2003,март,42.48
Картофель,1 кг,2003,март,9.57
Сахар-песок,1 кг,2003,март,23.03
Мед пчелиный натуральный,1 кг,2003,март,94.47
Соль,1 кг,2003,март,4.69
Майонез,1 кг,2003,март,78.98
Дрожжи,50 гр.,2003,март,8.10
Кофе натуральный растворимый,100 гр.,2003,март,63.25
Чай черный байховый,100 гр.,2003,март,19.59
Вода минеральная,"0,5 л.",2003,март,5.11
Водка крепостью 40 градусов,"0,5 л.",2003,март,33.95
Коньяк отечественный,"0,5 л.",2003,март,115.59
Вино игристое отечественное,"0,7 л.",2003,март,91.53
Сигареты с фильтром,1 пачка,2003,март,21.97
Цемент,50 кг,2003,март,87.92
"Электроэнергия, основной тариф",1 кВт. час,2003,март,0.62
Природный газ,за 1 человека в месяц,2003,март,37.23
Сжиженный газ ,1 кг,2003,март,12.87
Уголь,1 тонна,2003,март,1 031.53
Бензин автомобильной марки А-92,1 литр,2003,март,16.27
Бензин автомобильной марки А-80,1 литр,2003,март,12.69
